B;139;;94;20020109 09:19;;;;;BIRKENHEAD POINT;;;;20010516;20010620;920000;;R;RESIDENCE;145;;;;7719636;
B;139;;95;20020109 09:19;;;;;BIRKENHEAD POINT;;;;20010727;20010828;920000;;R;RESIDENCE;146;;;;7997648;
B;139;;96;20020109 09:19;;;;;BIRKENHEAD POINT;;;;20010716;20010820;920000;;R;RESIDENCE;147;;;;7871873;
B;139;;97;20020109 09:19;;;;;BIRKENHEAD POINT;;;;20000913;20010525;1000000;;R;RESIDENCE;148;;;;7725893;
B;139;;98;20020109 09:19;;;;;BIRKENHEAD POINT;;;;19991221;20000123;505200;;R;RESIDENCE;17;;;;7603247;
B;139;;99;20020109 09:19;;;;;BIRKENHEAD POINT;;;;20000627;20010614;803300;;3;HOME UNIT;24;;;;8043698;
B;139;;100;20020109 09:19;;;;;BIRKENHEAD POINT;;;;20010607;20010718;740000;;R;RESIDENCE;25;;;;7856959;
B;139;;101;20020109 09:19;;;;;BIRKENHEAD POINT;;;;20010621;20010726;780000;;R;RESIDENCE;29;;;;7815190;
B;139;;102;20020109 09:19;;;;;BIRKENHEAD POINT;;;;20010612;20010731;760000;;3;UNIT/CARSPACE;35;;;;7826651;
B;139;;103;20020109 09:19;;;;;BIRKENHEAD POINT;;;;20010521;20010625;766000;;R;RESIDENCE;40;;;;7721794;
B;139;;104;20020109 09:19;;;;;BIRKENHEAD POINT;;;;20010720;20010824;729600;;R;RESIDENCE;41;;;;7964038;
B;139;;105;20020109 09:19;;;;;BIRKENHEAD POINT;;;;20010731;20010804;819000;;R;RESIDENCE;46;;;;8004975;
B;139;;106;20020109 09:19;;;;;BIRKENHEAD POINT;;;;19990514;20010406;706800;;R;RESIDENCE;5;;;;7547921;
B;139;;107;20020109 09:19;;;;;BIRKENHEAD POINT;;;;19980218;20010202;290000;;3;;54;;;;7555011;
B;139;;108;20020109 09:19;;;;;BIRKENHEAD POINT;;;;20000919;20010202;345000;;R;RESIDENCE;54;;;;7555012;
B;139;;109;20020109 09:19;;;;;BIRKENHEAD POINT;;;;20010813;20011002;797000;;R;RESIDENCE;68;;;;7996689;
B;139;;110;20020109 09:19;;;;;BIRKENHEAD POINT;;;;20010801;20010912;798000;;V;VACANT LAND;69;;;;8007684;
B;139;;111;20020109 09:19;;;;;BIRKENHEAD POINT;;;;19981224;20010329;303800;;R;RESIDENCE;71;;;;7605249;
B;139;;112;20020109 09:19;;;;;BIRKENHEAD POINT;;;;20010528;20010628;770000;;R;RESIDENCE;73;;;;7758923;
B;139;;113;20020109 09:19;;;;;BIRKENHEAD POINT;;;;20010316;20010418;818000;;R;RESIDENCE;74;;;;7618522;
B;139;;114;20020109 09:19;;;;;BIRKENHEAD POINT;;;;20010615;20010716;775000;;R;RESIDENCE;78;;;;7931973;
B;139;;115;20020109 09:19;;;;;BIRKENHEAD POINT;;;;20010628;20010808;789000;;R;RESIDENCE;79;;;;7845333;
B;139;;116;20020109 09:19;;;;;BIRKENHEAD POINT;;;;20010511;20010622;755000;;R;RESIDENCE;80;;;;7718487;
B;139;;117;20020109 09:19;;;;;BIRKENHEAD POINT;;;;20010803;20010925;735000;;R;RESIDENCE;81;;;;7984030;
B;139;;118;20020109 09:19;;;;;BIRKENHEAD POINT;;;;20010412;20010511;770000;;R;RESIDENCE;83;;;;7829224;
B;139;;119;20020109 09:19;;;;;BIRKENHEAD POINT;;;;20010628;20010802;795000;;3;UNIT;84;;;;7891687;
B;139;;120;20020109 09:19;;;;;BIRKENHEAD POINT;;;;20010917;20011012;780000;;R;RESIDENCE;86;;;;8024282;
B;139;;121;20020109 09:19;;;;;BIRKENHEAD POINT;;;;20010121;20010420;798000;;R;RESIDENCE;88;;XA;;7554837;
B;139;;122;20020109 09:19;;;;;BIRKENHEAD POINT;;;;20010313;20010424;830000;;R;RESIDENCE;98;;;;7787142;
B;139;2886592;58;20020502 10:59;;;;;BIRKENHEAD POINT;;;;19990419;20010119;745750;;R;RESIDENCE;10;;;;7514000;
B;139;2886592;59;20020502 10:59;;;;;BIRKENHEAD POINT;;;;20020318;20020418;694000;;R;RESIDENCE;130;;;;8527864;
B;139;2886592;60;20020502 10:59;;;;;BIRKENHEAD POINT;;;;20000622;20010403;849000;;R;RESIDENCE;44;;;;7527259;
B;139;2886592;61;20020502 10:59;;;;;BIRKENHEAD POINT;;;;19990813;20010326;580000;;R;RESIDENCE;47;;;;7538365;
B;139;2886592;62;20020502 10:59;;;;;BIRKENHEAD POINT;;;;20010403;20010403;580000;;R;RESIDENCE;47;;;;7538366;
B;139;2886592;63;20020502 10:59;;;;;BIRKENHEAD POINT;;;;20010308;20020112;635000;;R;RESIDENCE;70;;;;8531726;
B;139;2886592;64;20020502 10:59;;;;;BIRKENHEAD POINT;;;;19990804;20010125;580000;;R;RESIDENCE;72;;;;7518574;
B;139;2886592;65;20020502 10:59;;;;;BIRKENHEAD POINT;;;;20010201;20010315;812000;;R;RESIDENCE;93;;;;7539258;
B;139;2886592;66;20020502 10:59;;;;;BIRKENHEAD POINT;;;;19980326;20010306;520000;;R;RESIDENCE;97;;;;7523344;
B;139;2886592;75;20020902 14:48;;;;;BIRKENHEAD POINT;;;;20020719;20020816;620500;;R;RESIDENCE;1;;;;8885009;
B;139;2886592;76;20020902 14:48;;;;;BIRKENHEAD POINT;;;;20020719;20020816;795860;;R;RESIDENCE;2;;;;8885032;
B;139;2886592;65;20020301 13:08;;;;;BIRKENHEAD POINT;;;;20011213;20020125;660000;;R;RESIDENCE;111;;;;8315187;
B;139;2886592;66;20020301 13:08;;;;;BIRKENHEAD POINT;;;;20011212;20020124;644000;;R;RESIDENCE;112;;;;8323388;
B;139;2886592;67;20020301 13:08;;;;;BIRKENHEAD POINT;;;;20011212;20020125;668000;;R;RESIDENCE;124;;;;8346035;
B;139;2886592;68;20020301 13:08;;;;;BIRKENHEAD POINT;;;;20011213;20020124;648000;;R;RESIDENCE;135;;;;8337749;
B;139;2886592;69;20020301 13:08;;;;;BIRKENHEAD POINT;;;;20020131;20020131;740000;;3;HOME UNIT;76;;;;8379055;
B;139;2886592;101;20020201 11:39;;;;;BIRKENHEAD POINT;;;;20011101;20011220;658000;;3;HOME UNIT;136;;;;8268821;
B;139;2886592;102;20020201 11:39;;;;;BIRKENHEAD POINT;;;;20011112;20011217;718000;;R;RESIDENCE;144;;;;8261298;
B;139;2886592;103;20020201 11:39;;;;;BIRKENHEAD POINT;;;;20011203;20020121;820000;;R;RESIDENCE;15;;;;8307395;
B;139;2886592;104;20020201 11:39;;;;;BIRKENHEAD POINT;;;;20011031;20011224;665000;;R;RESIDENCE;58;;;;8234447;
B;139;2886592;87;20020801 14:09;;;;;BIRKENHEAD POINT;;;;20020415;20020614;673000;;R;RESIDENCE;121;;;;8784458;
B;139;2886592;43;20020702 08:38;;;;;BIRKENHEAD POINT;;;;20020517;20020621;942000;;R;RESIDENCE;15;;;;8714750;
B;139;2886592;44;20020702 08:38;;;;;BIRKENHEAD POINT;;;;20011003;20011205;529000;;R;RESIDENCE;77;;;;8680229;
B;139;2886592;61;20020402 12:31;;;;;BIRKENHEAD POINT;;;;20020214;20020219;733000;;3;UNIT;26;;;;8438297;
B;139;2886592;87;20020603 10:21;;;;;BIRKENHEAD POINT;;;;20020315;20020426;678000;;3;;132;;;;8555028;
B;139;2886592;88;20020603 10:21;;;;;BIRKENHEAD POINT;;;;20020208;20020503;735000;;R;RESIDENCE;21;;;;8589339;
B;139;2886592;89;20020603 10:21;;;;;BIRKENHEAD POINT;;;;20020321;20020423;750000;;R;RESIDENCE;64;;;;8567088;
B;139;2886592;70;20021001 12:06;;;;;BIRKENHEAD POINT;;;;20020517;20020729;600000;;R;RESIDENCE;108;;;;8975859;
