B;708;2117135;64;20221205 01:09;;7 D;105;COOK RD;CENTENNIAL PARK;2021;;;20221014;20221125;600000;;R;RESIDENCE;34;;;0;AS664535;
B;708;2117232;75;20170206 01:07;;28;127;COOK RD;CENTENNIAL PARK;2021;;;20161130;20170113;1031500;;R;RESIDENCE;28;;;0;AM106109;
B;708;2117515;81;20170206 01:07;;;28;COOK RD;CENTENNIAL PARK;2021;216;M;20160914;20170113;3550000;R1;R;RESIDENCE;;BF1;;0;AM107760;
B;708;3230316;162;20170206 01:07;;43;80;COOK RD;CENTENNIAL PARK;2021;;;20161112;20170116;774500;;R;RESIDENCE;43;;;0;AM101849;
B;708;2117465;93;20230206 01:09;;138;58;COOK RD;CENTENNIAL PARK;2021;;;20221206;20230202;398000;;R;RESIDENCE;29;;;0;AS834007;
B;708;2140464;59;20170306 01:09;;1;17;POATE RD;CENTENNIAL PARK;2021;;;20161206;20170112;620000;;R;RESIDENCE;1;;;0;AM96435;
B;708;2136305;80;20200406 01:04;;;13;MOORE PARK RD;CENTENNIAL PARK;2021;265.7;M;20200218;20200331;3950000;R1;R;RESIDENCE;;BF1;;0;AQ4802;
B;708;2131384;128;20240506 01:27;;;44;LANG RD;CENTENNIAL PARK;2021;2194;M;20231105;20240430;26500000;R2;R;RESIDENCE;;GF1;;0;AU25512;
B;708;2136362;130;20240506 01:27;;1;69;MOORE PARK RD;CENTENNIAL PARK;2021;;;20240319;20240430;2080000;;R;RESIDENCE;1;;;0;AU25210;
B;708;2116796;35;20160606 01:37;;56;53;COOK RD;CENTENNIAL PARK;2021;;;20160421;20160602;372525;;R;RESIDENCE;42;;;0;AK481882;
B;708;2117195;44;20220606 01:18;;2;121;COOK RD;CENTENNIAL PARK;2021;;;20220502;20220530;642500;;R;RESIDENCE;2;;;0;AS171480;
B;708;2125908;49;20220606 01:18;;11;22;FURBER RD;CENTENNIAL PARK;2021;;;20220421;20220602;965000;;R;RESIDENCE;11;;;0;AS184452;
B;708;2117232;64;20180806 01:20;;10;127;COOK RD;CENTENNIAL PARK;2021;;;20180612;20180724;1220000;;R;RESIDENCE;10;;;0;AN550388;
B;708;3230316;107;20210906 02:18;;19;80;COOK RD;CENTENNIAL PARK;2021;;;20210720;20210831;727500;;R;RESIDENCE;19;;;0;AR384881;
B;708;2116612;43;20251006 01:10;ADLEN;39;39;COOK RD;CENTENNIAL PARK;2021;;;20250812;20250923;940000;;R;RESIDENCE;30;;;;AV446984;
B;708;2131403;84;20231106 01:40;;;70;LANG RD;CENTENNIAL PARK;2021;836.07;M;20230901;20231027;13500000;R2;R;RESIDENCE;;GF1;;0;AT554770;
B;708;2116968;10;20211206 01:57;;2;69;COOK RD;CENTENNIAL PARK;2021;;;20211015;20211126;900000;;R;RESIDENCE;2;;;0;AR655474;
B;708;2117039;94;20211206 01:57;;38;77;COOK RD;CENTENNIAL PARK;2021;;;20211020;20211201;850000;;R;RESIDENCE;38;;;0;AR672245;
B;708;2117135;95;20211206 01:57;;4 C;105;COOK RD;CENTENNIAL PARK;2021;;;20211015;20211126;650000;;R;RESIDENCE;18;;;0;AR657809;
B;708;2117232;110;20211206 01:57;;76;141;COOK RD;CENTENNIAL PARK;2021;;;20211020;20211126;55000;;R;RESIDENCE;76;;;0;AR658177;
B;708;3230316;136;20211206 01:57;;30;80;COOK RD;CENTENNIAL PARK;2021;;;20211117;20211201;560000;;R;RESIDENCE;30;;;0;AR672749;
B;708;2117232;73;20220207 06:48;;68;133;COOK RD;CENTENNIAL PARK;2021;;;20211204;20220201;1380000;;R;RESIDENCE;68;;;0;AR852032;
B;708;2117232;74;20220207 06:48;;68;133;COOK RD;CENTENNIAL PARK;2021;;;20211204;20220201;1380000;;R;RESIDENCE;74;;;0;AR852032;
B;708;2125908;45;20160307 01:17;;10;22;FURBER RD;CENTENNIAL PARK;2021;;;20160211;20160226;775000;;R;RESIDENCE;10;;;0;AK258290;
